name,time,ms,measured_ms,provider,language,memory,region
factors,1579181862438164139,771,590.9090042114258,ibm,python,128,eu-de
factors,1579181862463437986,792,654.9716000000001,aws,dotnet,128,eu-central-1
factors,1579181862644791652,973,876,aws,go,128,eu-central-1
factors,1579181862709203016,1045,951,google,go,128,europe-west1
factors,1579181863081066381,1410,1166.6209697723389,azure,python,128,westeurope
factors,1579181863298931743,16676,16549.488,aws,node,128,eu-central-1
factors,1579181863614704807,1948,1705.326,ibm,node,128,eu-de
factors,1579181863944905727,2274,2076.685,azure,node,128,westeurope
factors,1579181864701815597,8079,7897.547245025635,aws,python,128,eu-central-1
factors,1579181865709060816,9089,8889.673233032227,google,python,128,europe-west1
factors,1579181866834526793,200,81.10040000000001,ibm,dotnet,128,eu-de
factors,1579181866867265080,233,57,ibm,go,128,eu-de
factors,1579181866874399524,240,92.44890000000001,azure,dotnet,128,westeurope
factors,1579181866991764742,356,246.28500000000003,azureWindows,dotnet,128,westeurope
factors,1579181867059138651,15439,15305.818,google,node,128,europe-west1
factors,1579181867331637636,704,583.6522579193115,ibm,python,128,eu-de
factors,1579181867366056378,733,656.9221,aws,dotnet,128,eu-central-1
factors,1579181867418936409,795,733,google,go,128,europe-west1
factors,1579181867623415367,992,915,aws,go,128,eu-central-1
factors,1579181868004671956,1371,1226.7234325408936,azure,python,128,westeurope
factors,1579181868943804619,1937,1734.552,ibm,node,128,eu-de
factors,1579181868949123206,17324,17161.034,aws,node,128,eu-central-1
factors,1579181869012917881,2380,2182.439,azure,node,128,westeurope
factors,1579181869018415637,7344,7225.33,azureWindows,node,128,westeurope
factors,1579181869019728550,7354,7214.345693588257,google,python,128,europe-west1
factors,1579181869769264563,8101,7905.297040939331,aws,python,128,eu-central-1
factors,1579181871860830381,228,65,ibm,go,128,eu-de
factors,1579181871880270203,244,99.9555,azure,dotnet,128,westeurope
factors,1579181871906802400,269,81.6239,ibm,dotnet,128,eu-de
factors,1579181872021517359,383,253.28760000000003,azureWindows,dotnet,128,westeurope
factors,1579181872072324714,5437,5285.619,azureWindows,node,128,westeurope
factors,1579181872366511535,731,667.1436,aws,dotnet,128,eu-central-1
factors,1579181872387534529,756,598.982572555542,ibm,python,128,eu-de
factors,1579181872701082487,1069,959,aws,go,128,eu-central-1
factors,1579181872707268574,1079,994,google,go,128,europe-west1
factors,1579181873128178256,1492,1236.1266613006592,azure,python,128,westeurope
factors,1579181873128247990,6502,6211.666822433472,google,python,128,europe-west1
factors,1579181873556360335,1926,1712.107,ibm,node,128,eu-de
factors,1579181873563781297,16944,16798.035,google,node,128,europe-west1
factors,1579181873586666157,16964,16772.038,aws,node,128,eu-central-1
factors,1579181873962518199,2329,2143.88,azure,node,128,westeurope
factors,1579181874671858230,8041,7867.937326431274,aws,python,128,eu-central-1
factors,1579181876517787414,14852,14715.619,google,node,128,europe-west1
factors,1579181876855951177,221,60,ibm,go,128,eu-de
factors,1579181876871698669,232,92.7508,azure,dotnet,128,westeurope
factors,1579181876899750400,260,84.3991,ibm,dotnet,128,eu-de
factors,1579181877007993638,365,252.2639,azureWindows,dotnet,128,westeurope
factors,1579181877367979728,731,661.4354000000001,aws,dotnet,128,eu-central-1
factors,1579181877378987381,747,585.2088928222656,ibm,python,128,eu-de
factors,1579181877619051542,990,896,google,go,128,europe-west1
factors,1579181877678557009,1044,972,aws,go,128,eu-central-1
factors,1579181878044982185,1408,1187.3199939727783,azure,python,128,westeurope
factors,1579181878184462565,6546,6392.743,azureWindows,node,128,westeurope
factors,1579181878548261076,1917,1703.865,ibm,node,128,eu-de
factors,1579181878551881932,16883,16721.655,aws,node,128,eu-central-1
factors,1579181878916629156,7287,7175.213813781738,google,python,128,europe-west1
factors,1579181878924247031,2288,2101.904,azure,node,128,westeurope
factors,1579181879982760441,8351,7897.684812545776,aws,python,128,eu-central-1
factors,1579181881455569254,14829,14700.533,google,node,128,europe-west1
factors,1579181881855438725,217,86.0274,azure,dotnet,128,westeurope
factors,1579181881904360299,265,81.34490000000001,ibm,dotnet,128,eu-de
factors,1579181881941261888,305,60,ibm,go,128,eu-de
factors,1579181882070455123,430,280.721,azureWindows,dotnet,128,westeurope
factors,1579181882070709650,5429,5279.178,azureWindows,node,128,westeurope
factors,1579181882367480188,729,643.2708,aws,dotnet,128,eu-central-1
factors,1579181882490559805,856,637.6247406005859,ibm,python,128,eu-de
factors,1579181882649991438,1014,914,aws,go,128,eu-central-1
factors,1579181882719863501,1089,911,google,go,128,europe-west1
factors,1579181883355633597,16725,16566.751,aws,node,128,eu-central-1
factors,1579181883488493990,1849,1639.1398906707764,azure,python,128,westeurope
factors,1579181883619433895,1984,1778.935,ibm,node,128,eu-de
factors,1579181884350222805,2712,2488.791,azure,node,128,westeurope
factors,1579181884440484835,7810,7594.613313674927,google,python,128,europe-west1
factors,1579181884642001259,8009,7828.155994415283,aws,python,128,eu-central-1
factors,1579181886741770775,15038,14903.279,google,node,128,europe-west1
factors,1579181886870454726,232,62,ibm,go,128,eu-de
factors,1579181886929505204,288,81.5026,ibm,dotnet,128,eu-de
factors,1579181886936057904,296,83.4418,azure,dotnet,128,westeurope
factors,1579181887179196398,538,296.0878,azureWindows,dotnet,128,westeurope
factors,1579181887365571716,727,654.4235,aws,dotnet,128,eu-central-1
factors,1579181887412546468,778,594.3179130554199,ibm,python,128,eu-de
factors,1579181887605669218,973,893,google,go,128,europe-west1
factors,1579181887658877238,1023,963,aws,go,128,eu-central-1
factors,1579181888030483007,6391,6249.93,azureWindows,node,128,westeurope
factors,1579181888134043326,1495,1267.1701908111572,azure,python,128,westeurope
factors,1579181888803616010,2170,1989.207,ibm,node,128,eu-de
factors,1579181889084768864,2447,2216.605,azure,node,128,westeurope
factors,1579181889115928311,17484,17303.506,aws,node,128,eu-central-1
factors,1579181889750081416,8115,7920.714855194092,aws,python,128,eu-central-1
factors,1579181890631736405,9000,8866.65391921997,google,python,128,europe-west1
factors,1579181891871141606,222,61,ibm,go,128,eu-de
factors,1579181891901104553,249,100.0818,azure,dotnet,128,westeurope
factors,1579181891901301029,250,81.9148,ibm,dotnet,128,eu-de
factors,1579181892035195685,381,265.06870000000004,azureWindows,dotnet,128,westeurope
