provider,runtime,rps,rps_achieved,number_of_requests,errors,http_errors,rps_corrected,avg,min,max,stdv,50%,95%,99%
azure,dotnet,800,406.89,24415,1480,0,406.9166666666667,18140.224,4243.455,35553.280,6473.986,18580,27869.18,29790
azure,dotnet,1000,511.69,30705,1794,0,511.75,18012.701,4767.743,34078.720,6331.496,18320,27639.81,29590
azure_win,node,10,9.99,600,1,0,10,101.572,48.511,559.616,68.334,85.63,189.57,513.02
azure_win,node,25,25.13,1512,0,0,25.2,149.681,48.415,891.904,85.149,135.81,268.8,515.07
azure_win,node,50,49.15,2952,0,0,49.2,334.565,48.255,1201.152,180.574,347.90,585.22,780.29
azure_win,node,100,98.28,5903,11,0,98.38333333333334,412.582,50.559,2168.832,249.063,412.93,798.72,1340
azure_win,node,200,196.53,11795,76,0,196.58333333333334,514.646,50.047,16449.536,757.497,409.09,1161.21,3600
azure_win,node,400,392.76,23584,57,0,393.06666666666666,435.872,50.143,5857.280,297.660,419.58,828.93,1520
azure_win,node,800,785.24,47122,213,0,785.3666666666667,672.327,41.983,11878.400,973.139,317.95,2703.36,4640
azure_win,node,1000,978.63,58731,71,0,978.85,282.018,47.999,11599.872,282.718,234.11,630.27,1210
azure_win,dotnet,10,10.02,602,0,0,10.033333333333333,98.867,41.151,592.384,67.977,77.31,237.7,310.78
azure_win,dotnet,25,24.73,1488,0,0,24.8,158.478,33.919,807.424,85.609,157.57,266.24,578.56
azure_win,dotnet,50,49.15,2953,0,0,49.21666666666667,276.866,38.591,851.968,137.895,307.20,447.23,661.50
