name,time,ms,provider,region
latency,1579030870678279108,552,aws,ap-southeast-1
latency,1579030871059772871,723,aws,ap-southeast-1
latency,1579030872638764286,1461,google,asia-northeast1
latency,1579030873249879425,1686,google,asia-northeast1
latency,1579030873715708539,571,azure,southeastasia
latency,1579030874454869687,701,azure,southeastasia
latency,1579030875193566887,976,aws,ap-southeast-2
latency,1579030875926344854,969,aws,ap-southeast-2
latency,1579030876483723582,787,aws,ap-northeast-1
latency,1579030877216872039,232,azure,westeurope
latency,1579030877221231278,786,aws,ap-northeast-1
latency,1579030877886309813,163,azure,westeurope
latency,1579030878233503021,514,aws,ca-central-1
latency,1579030878580655633,193,aws,ca-central-1
latency,1579030878811015720,76,aws,eu-central-1
latency,1579030879140736748,58,aws,eu-central-1
latency,1579030879502946166,190,aws,eu-west-1
latency,1579030879736185487,91,aws,eu-west-1
latency,1579030880782459176,776,azure,westus2
latency,1579030880941333155,703,azure,westus2
latency,1579030881457677594,172,aws,eu-west-2
latency,1579030881590525089,148,aws,eu-west-2
latency,1579030882095820146,137,aws,eu-west-3
latency,1579030882166799515,74,aws,eu-west-3
latency,1579030882831843751,162,aws,eu-north-1
latency,1579030882850399952,252,aws,eu-north-1
latency,1579030884048904439,714,aws,sa-east-1
latency,1579030884059185671,707,aws,sa-east-1
latency,1579030884766801082,256,ibm,eu-de
latency,1579030885117405660,567,aws,me-south-1
latency,1579030885289034709,728,aws,me-south-1
latency,1579030885455201166,186,google,us-central1
latency,1579030886311822868,692,aws,ap-east-1
latency,1579030886359349170,403,aws,us-east-2
latency,1579030886429781694,639,aws,ap-east-1
latency,1579030887093174314,233,ibm,eu-gb
latency,1579030887547085346,614,azure,eastus
latency,1579030887814184704,219,google,us-east1
latency,1579030888037077455,1223,azure,eastus
latency,1579030888594629101,546,azure,eastus2
latency,1579030888676848753,360,aws,us-east-1
latency,1579030889021559410,483,azure,eastus2
latency,1579030889340884972,245,azure,uksouth
latency,1579030889666121057,142,azure,uksouth
latency,1579030890042880239,864,azure,eastasia
latency,1579030891074434317,1229,ibm,jp-tok
latency,1579030891167386091,623,ibm,us-south
latency,1579030891396351407,1227,ibm,jp-tok
latency,1579030891743328099,168,ibm,eu-de
latency,1579030891878603659,203,google,us-east4
latency,1579030892153718369,256,ibm,eu-de
latency,1579030892400511785,157,google,us-central1
latency,1579030892925572717,268,google,us-central1
latency,1579030892930337386,546,aws,us-west-1
latency,1579030893291886337,385,aws,us-east-2
latency,1579030893798974974,373,aws,us-east-2
latency,1579030894004028048,207,ibm,eu-gb
latency,1579030894018601240,587,ibm,us-east
latency,1579030894518561378,217,ibm,eu-gb
latency,1579030894625738886,105,google,europe-west1
latency,1579030894714804102,209,google,us-east1
latency,1579030895219781027,197,google,us-east1
latency,1579030895366865016,148,aws,us-east-1
latency,1579030895705374321,576,aws,us-west-2
latency,1579030896072125076,353,aws,us-east-1
latency,1579030896589589999,384,aws,ap-south-1
latency,1579030896635625262,767,azure,eastasia
latency,1579030897538185264,790,azure,eastasia
latency,1579030897538248411,152,google,europe-west2
latency,1579030897857613608,722,ibm,us-south
latency,1579030897968982067,223,azure,northeurope
latency,1579030898506720511,136,google,us-east4
latency,1579030898528406553,663,ibm,us-south
latency,1579030898795070363,323,google,asia-east2
latency,1579030899549487220,541,aws,us-west-1
latency,1579030899718700675,689,google,us-east4
latency,1579030900190408386,893,aws,ap-northeast-2
latency,1579030900514446250,464,ibm,us-east
latency,1579030900757747303,538,aws,us-west-1
latency,1579030901074394945,59,google,europe-west1
latency,1579030901306285253,614,azure,southcentralus
latency,1579030901716160057,457,ibm,us-east
latency,1579030902150339918,575,aws,us-west-2
latency,1579030902346375896,129,google,europe-west1
latency,1579030902357053055,550,aws,ap-southeast-1
latency,1579030903008598488,356,aws,ap-south-1
latency,1579030903417114509,569,aws,us-west-2
latency,1579030903686789707,176,google,europe-west2
latency,1579030904278578376,361,aws,ap-south-1
latency,1579030904317338485,129,azure,northeurope
latency,1579030904549522787,1691,google,asia-northeast1
latency,1579030905044950460,258,google,europe-west2
latency,1579030905714689821,164,azure,northeurope
latency,1579030905780337317,730,azure,southeastasia
latency,1579030906799657651,1981,google,asia-east2
latency,1579030907255692563,974,aws,ap-southeast-2
latency,1579030908195218301,1977,google,asia-east2
latency,1579030908248158815,947,aws,ap-northeast-2
latency,1579030908528662144,772,aws,ap-northeast-1
latency,1579030909021543777,324,aws,ap-northeast-2
latency,1579030909240915864,208,azure,westeurope
latency,1579030909369681272,619,azure,southcentralus
latency,1579030910106368056,583,azure,southcentralus
latency,1579030910198442206,455,aws,ca-central-1
latency,1579030910576111721,706,aws,ap-southeast-1
latency,1579030910791595460,92,aws,eu-central-1
latency,1579030911156358363,549,aws,ap-southeast-1
latency,1579030911483360698,189,aws,eu-west-1
latency,1579030912784024726,796,azure,westus2
latency,1579030912847768392,1770,google,asia-northeast1
latency,1579030913353340200,1695,google,asia-northeast1
latency,1579030913449985260,165,aws,eu-west-2
latency,1579030914034526050,683,azure,southeastasia
latency,1579030914116300686,164,aws,eu-west-3
latency,1579030914573939698,719,azure,southeastasia
latency,1579030914793397940,176,aws,eu-north-1
latency,1579030915495007196,956,aws,ap-southeast-2
latency,1579030916017560411,940,aws,ap-southeast-2
latency,1579030916055387381,760,aws,sa-east-1
latency,1579030916788503619,790,aws,ap-northeast-1
latency,1579030917197915889,642,aws,me-south-1
latency,1579030917284794949,763,aws,ap-northeast-1
latency,1579030917450052709,159,azure,westeurope
latency,1579030918047654710,262,azure,westeurope
latency,1579030918337204969,385,aws,ca-central-1
latency,1579030918472771500,773,aws,ap-east-1
latency,1579030918919096502,80,aws,eu-central-1
latency,1579030918969961969,419,aws,ca-central-1
latency,1579030919522440155,51,aws,eu-central-1
latency,1579030919621110169,201,aws,eu-west-1
latency,1579030919812562235,836,azure,eastus
latency,1579030920183479597,160,aws,eu-west-1
latency,1579030920832277463,710,azure,westus2
latency,1579030920863679704,550,azure,eastus2
latency,1579030921391937217,708,azure,westus2
latency,1579030921466938825,132,aws,eu-west-2
latency,1579030921572990619,207,azure,uksouth
latency,1579030922029081613,135,aws,eu-west-2
latency,1579030922084565881,116,aws,eu-west-3
